Price,Close,High,Low,Open,Volume
Ticker,PETR4.SA,PETR4.SA,PETR4.SA,PETR4.SA,PETR4.SA
Date,,,,,
2023-01-02,14.558655738830566,15.123978368783893,14.482431877532383,14.952476801053033,78424700
2023-01-03,14.1902437210083,14.67299163516201,14.056852260164808,14.571360622870412,96750300
2023-01-04,14.641230583190918,14.984236144191462,13.866293843521177,13.94886858327843,129504000
2023-01-05,15.168440818786621,15.270073031235677,14.704749225683667,14.82543649359303,73886000
2023-01-06,15.079512596130371,15.447925243122919,14.958825339423697,15.206551941246554,51851500
2023-01-09,15.162090301513672,15.244665037389865,14.76826925497143,14.927067849110909,46385200
2023-01-10,15.301834106445312,15.314538285972676,14.844494547295438,15.212907272828259,52741100
2023-01-11,15.422520637512207,15.638486832806764,15.276425003139643,15.339944686144603,53536500
2023-01-12,15.644837379455566,15.657541558094994,15.31453721559057,15.428872400271098,58130000
2023-01-13,15.60672664642334,15.66389424092972,15.403464626639412,15.524151905212571,40002700
2023-01-16,15.270074844360352,15.562263703791626,15.136683382614201,15.505096107548596,31973700
2023-01-17,16.210161209106445,16.273680890749056,15.314537211403401,15.314537211403401,91797500
2023-01-18,15.924324035644531,16.534111313442484,15.87986061975517,16.413424033501922,69692900
2023-01-19,16.44518280029297,16.483295336998314,15.746469922215516,15.879860166072678,75553300
2023-01-20,16.750076293945312,16.896170710229867,16.146641149761802,16.445182071500298,114219500
2023-01-23,17.016860961914062,17.53136815938031,16.59763148406536,16.686559536475613,87678100
2023-01-24,16.89617156982422,17.486902565722446,16.750077146107095,17.448790028767135,65794000
2023-01-25,17.11213493347168,17.201061748571,16.521404035370214,16.864408330422588,51832900
2023-01-26,16.673852920532227,17.277288082271117,16.388014957279665,17.20741631091223,73344800
2023-01-27,16.273679733276367,16.661147461816874,16.159344556759244,16.62938822902304,47681900
2023-01-30,16.35625648498535,16.559518507651838,16.20380996798549,16.419776169952936,40683200
2023-01-31,16.559520721435547,16.648447565356143,16.210164224715445,16.280034797137038,54048900
2023-02-01,16.330848693847656,16.81994871009489,16.16569920334544,16.559519083061897,56349200
2023-02-02,15.574968338012695,16.39436855552328,15.511448650161832,16.203810703507965,83823000
2023-02-03,15.746472358703613,16.121236001996767,15.511449858803802,15.587673732471607,71170700
2023-02-06,16.375314712524414,16.43248231467911,15.721063938719213,15.797287812104598,82794500
2023-02-07,16.273679733276367,16.603979873558313,16.172047522954536,16.45788546424735,55311800
2023-02-08,16.54681396484375,16.610333648415907,16.235568848031104,16.38801536168196,48713100
2023-02-09,16.470592498779297,16.718317949842632,16.381665662302673,16.54681515532004,38198300
2023-02-10,16.972394943237305,17.01685957157819,16.470591967334027,16.502351204611703,54683100
2023-02-13,17.023208618164062,17.08037620834263,16.750076056967366,16.953338061363564,36726900
2023-02-14,16.959692001342773,17.1883611754758,16.896172315152448,17.05497092485964,35839000
2023-02-15,16.985097885131836,17.023209209395485,16.705612013611713,16.883466879404,72554100
2023-02-16,17.05497169494629,17.11849138400473,16.826301298950813,16.89617307806883,44115700
2023-02-17,16.79454231262207,16.940636751576264,16.75007889307404,16.940636751576264,61085700
2023-02-22,16.362607955932617,16.584926239144238,16.318144541597725,16.51505446716817,38608500
2023-02-23,16.864410400390625,17.016858118611154,16.368959556553893,16.368959556553893,73913400
2023-02-24,16.451536178588867,16.959692470635442,16.432481120280567,16.940636200789864,64409100
2023-02-27,16.610334396362305,16.985099213622387,16.394368189414557,16.413424458805448,76250600
2023-02-28,16.032304763793945,17.099431433369652,16.032304763793945,16.648442828508404,130248100
2023-03-01,16.070417404174805,16.152993352419898,15.365352462938773,16.076769493388824,109257700
2023-03-02,15.651190757751465,16.305441473117813,15.479689178143575,16.14664286165836,124516200
2023-03-03,16.32449722290039,16.349904369925607,15.530504190882613,15.771877539539641,87591800
2023-03-06,16.489646911621094,16.591279135592263,16.114883310481737,16.32449742506888,50227400
2023-03-07,15.943378448486328,16.375310800906032,15.835395360381403,16.33719826754871,59052500
2023-03-08,16.14664077758789,16.464237959514058,15.962433830532904,15.975138008578854,66220400
2023-03-09,16.076770782470703,16.661149710109,16.057715724837898,16.10217914136409,68042300
2023-03-10,15.867154121398926,16.2482709628777,15.841746978120097,15.981489294996262,48118600
2023-03-13,15.365351676940918,15.790931940212905,15.308184088476244,15.594020819262544,58605500
2023-03-14,15.092217445373535,15.708355510103594,14.99058644936728,15.422518788162387,58916700
2023-03-15,14.825439453125,14.914366293790733,14.482433847921737,14.819087362857829,93708800
2023-03-16,14.774621963500977,14.939772653713911,14.590415005039066,14.863548792255182,66821000
2023-03-17,14.93342113494873,14.93342113494873,14.520544999407738,14.672991516613463,93502700
2023-03-20,14.565007209777832,15.022346723535978,14.539598853244929,14.933419898745065,57575200
2023-03-21,14.863550186157227,14.990589563323123,14.660288151921625,14.736512020528622,43391200
2023-03-22,14.819085121154785,15.003292076425526,14.634879377421198,14.857196445455328,46435600
2023-03-23,14.482430458068848,15.03505006658966,14.349040228292443,14.844492249327066,74711200
2023-03-24,14.476079940795898,14.692044907013187,14.279168818319386,14.425263229289378,52556800
2023-03-27,14.723807334899902,14.838142528115563,14.501489038262473,14.679343917879866,39148700
2023-03-28,14.984237670898438,15.015996909840055,14.704751764370442,14.74921518350363,29091100
2023-03-29,15.181146621704102,15.27007466567333,14.908012823191827,15.060459340876932,49148600
2023-03-30,15.225608825683594,15.422519955444207,15.041403085806694,15.403463687924335,56116900
2023-03-31,14.89531135559082,15.384410194764929,14.742863611014322,15.244667842363377,59547800
2023-04-03,15.555912017822266,15.562264107740509,15.117627505761586,15.301834478778854,73931200
2023-04-04,15.416169166564941,15.727414293085708,15.308186064585309,15.644838338405101,57505700
2023-04-05,15.466981887817383,15.581317058919641,14.780972072740843,15.365350893845822,93626400
2023-04-06,15.244664192199707,15.511445864024683,15.212904959747448,15.460630365178833,29565400
2023-04-10,15.56861686706543,15.663895796861276,15.263723807103794,15.263723807103794,41455900
2023-04-11,16.29908561706543,16.32449397056575,15.644835052875951,15.68929967150151,80565000
2023-04-12,16.41977310180664,16.610330909565143,15.994192867044795,16.502347828758793,71563400
2023-04-13,16.53411102294922,16.57222234853662,16.38801538704599,16.41977583464982,38852800
2023-04-14,16.70561408996582,16.769133779324918,16.337201345527813,16.38801685470763,38421100
